id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20
sample_0000,1,88.24411913475817,0.6726257608719525,14,39.72421314668352,-1.034618659107245,94,90.61117514466575,-1.7741879515183645,64,8.140976502692443,0.12636777076233408,58,27.221880083977567,1.6986881537835914,94,28.209307681563935,2.012281004744113,46,58.435240262488634
sample_0001,47,20.351110833188645,1.7707056507337993,86,26.870073575426822,1.8199385673191661,5,18.89250668391246,-0.6295665947759428,61,68.84213462431659,-1.2169996327947623,3,34.207679597107074,-0.4145461142877869,63,8.829859010767127,0.5954997280830951,32,59.03165364989821
sample_0002,13,87.3361117841438,-1.7181374903760358,22,34.759981445865094,0.5206227651685589,3,25.652042732580792,-1.264395001201074,6,22.67582469444117,-0.7937483330446092,13,93.07393963624126,-0.8083195385975238,30,97.05786551976789,-0.08507609929734504,80,29.442310029708107
sample_0003,58,5.976227417838443,-1.202803194645333,81,71.27717935169045,-0.2553949767061665,42,5.333006820674624,-1.651402275155699,6,3.5185342741618664,0.46910516989907886,17,57.85117924094454,0.4040896142169139,52,39.505843451227506,0.5033670843305138,66,6.872627987662872
sample_0004,96,88.85992804371524,0.6622033339461874,45,55.500567233448606,-0.44237519053220326,92,96.5400116974059,0.46769937292261926,7,5.96375460800902,-0.5878988956536116,33,17.896181713500102,0.4195653159883031,93,90.1188767898186,-0.435999836047107,42,39.920051745160464
sample_0005,98,32.90737794607279,-1.1056255017144403,82,90.41912075524279,-1.2283646231473866,41,85.20108494883763,-0.6687669298299082,18,37.352210367956204,-0.14111178679923259,0,66.36951389123827,-0.5867888074710782,83,97.11717690288482,0.30122481006076546,17,18.678542225653562
sample_0006,57,31.458763341406648,-1.4565879732593636,27,60.21687693888833,-0.11010009122807576,2,91.31846040910838,1.0414062955191252,16,7.7588451689364675,1.4530510986372605,52,99.07621555393796,-0.7976653690474433,71,90.9562660127572,0.28499026215142287,73,18.447321026652407
sample_0007,57,51.20885766986639,1.8658445522852707,25,49.301820848150314,0.6650580811900463,0,84.7216167760015,-1.8285963163439418,10,59.6639199933454,-0.35203733535524195,21,82.34535644704,1.4470703017347137,43,45.49596643662088,0.8341734635346133,52,52.2588871028741
sample_0008,50,94.06901877232318,-1.6199421316642872,9,78.57527238867328,-0.8098140972767338,54,47.953055272128886,-0.29775393483322593,48,64.72545113740756,2.0213161425701083,79,74.57411365514027,-0.4329859088131957,29,77.88972975820573,-0.9849303551626952,38,67.31211380977535
sample_0009,83,4.778136468140537,-0.35127203711064553,46,94.75338507334452,0.10554112129638223,14,92.40819340907635,-0.6159263092764419,10,37.346857198304896,0.7399146447350233,60,20.804665426626922,-1.4518736168731694,34,15.369948375502595,0.355427973549249,71,7.5415052266528
